 2.50  7500. -5.0  2.0   0.3947    0.2103    0.0011
 3.00  7500. -5.0  2.0   0.3915    0.2119    0.0005
 3.50  7500. -5.0  2.0   0.3948    0.2049    0.0003
 4.00  7500. -5.0  2.0   0.2578    0.3124    0.0070
 4.50  7500. -5.0  2.0   0.2534    0.3141    0.0073
 5.00  7500. -5.0  2.0   0.2502    0.3159    0.0072
 1.50  7750. -5.0  2.0   0.3409    0.2592    0.0039
 2.00  7750. -5.0  2.0   0.3490    0.2485    0.0033
 2.50  7750. -5.0  2.0   0.3617    0.2328    0.0025
 3.00  7750. -5.0  2.0   0.3664    0.2270    0.0015
 3.50  7750. -5.0  2.0   0.3645    0.2287    0.0007
 4.00  7750. -5.0  2.0   0.3678    0.2224    0.0004
 4.50  7750. -5.0  2.0   0.2377    0.3225    0.0080
 5.00  7750. -5.0  2.0   0.2366    0.3225    0.0078
 1.50  8000. -5.0  2.0   0.3110    0.2757    0.0057
 2.00  8000. -5.0  2.0   0.3133    0.2713    0.0053
 2.50  8000. -5.0  2.0   0.3239    0.2590    0.0043
 3.00  8000. -5.0  2.0   0.3378    0.2435    0.0032
 3.50  8000. -5.0  2.0   0.3401    0.2422    0.0019
 4.00  8000. -5.0  2.0   0.3387    0.2443    0.0011
 4.50  8000. -5.0  2.0   0.3414    0.2390    0.0007
 5.00  8000. -5.0  2.0   0.2200    0.3311    0.0089
 2.00  8250. -5.0  2.0   0.2866    0.2843    0.0072
 2.50  8250. -5.0  2.0   0.2919    0.2776    0.0063
 3.00  8250. -5.0  2.0   0.3041    0.2649    0.0051
 3.50  8250. -5.0  2.0   0.3166    0.2522    0.0038
 4.00  8250. -5.0  2.0   0.3144    0.2577    0.0023
 4.50  8250. -5.0  2.0   0.3146    0.2579    0.0014
 5.00  8250. -5.0  2.0   0.2091    0.3363    0.0091
 1.50  8500. -5.0  2.0   0.2784    0.2843    0.0084
 2.00  8500. -5.0  2.0   0.2673    0.2903    0.0087
 2.50  8500. -5.0  2.0   0.2679    0.2876    0.0082
 3.00  8500. -5.0  2.0   0.2755    0.2801    0.0070
 3.50  8500. -5.0  2.0   0.2878    0.2685    0.0057
 4.00  8500. -5.0  2.0   0.2967    0.2607    0.0043
 4.50  8500. -5.0  2.0   0.2919    0.2701    0.0027
 5.00  8500. -5.0  2.0   0.2899    0.2720    0.0018
 2.00  8750. -5.0  2.0   0.2544    0.2919    0.0097
 2.50  8750. -5.0  2.0   0.2501    0.2923    0.0095
 3.00  8750. -5.0  2.0   0.2540    0.2879    0.0087
 3.50  8750. -5.0  2.0   0.2625    0.2808    0.0075
 4.00  8750. -5.0  2.0   0.2734    0.2712    0.0062
 4.50  8750. -5.0  2.0   0.2751    0.2723    0.0047
 5.00  8750. -5.0  2.0   0.2692    0.2825    0.0031
 1.50  9000. -5.0  2.0   0.2689    0.2799    0.0092
 2.00  9000. -5.0  2.0   0.2461    0.2912    0.0103
 2.50  9000. -5.0  2.0   0.2376    0.2936    0.0104
 3.00  9000. -5.0  2.0   0.2379    0.2916    0.0099
 3.50  9000. -5.0  2.0   0.2429    0.2875    0.0090
 4.00  9000. -5.0  2.0   0.2517    0.2807    0.0079
 4.50  9000. -5.0  2.0   0.2626    0.2709    0.0066
 5.00  9000. -5.0  2.0   0.2748    0.2585    0.0056
 2.00  9250. -5.0  2.0   0.2399    0.2905    0.0107
 2.50  9250. -5.0  2.0   0.2282    0.2940    0.0110
 3.00  9250. -5.0  2.0   0.2258    0.2930    0.0107
 3.50  9250. -5.0  2.0   0.2282    0.2905    0.0101
 4.00  9250. -5.0  2.0   0.2340    0.2865    0.0094
 4.50  9250. -5.0  2.0   0.2421    0.2802    0.0083
 5.00  9250. -5.0  2.0   0.2519    0.2707    0.0071
 2.00  9500. -5.0  2.0   0.2353    0.2896    0.0110
 2.50  9500. -5.0  2.0   0.2215    0.2930    0.0114
 3.00  9500. -5.0  2.0   0.2166    0.2931    0.0113
 3.50  9500. -5.0  2.0   0.2171    0.2916    0.0109
 4.00  9500. -5.0  2.0   0.2201    0.2896    0.0104
 4.50  9500. -5.0  2.0   0.2253    0.2862    0.0096
 5.00  9500. -5.0  2.0   0.2329    0.2795    0.0086
 2.00  9750. -5.0  2.0   0.2311    0.2894    0.0112
 2.50  9750. -5.0  2.0   0.2156    0.2926    0.0117
 3.00  9750. -5.0  2.0   0.2093    0.2926    0.0118
 3.50  9750. -5.0  2.0   0.2078    0.2922    0.0115
 4.00  9750. -5.0  2.0   0.2094    0.2909    0.0112
 4.50  9750. -5.0  2.0   0.2121    0.2893    0.0107
 5.00  9750. -5.0  2.0   0.2172    0.2853    0.0099
 2.00 10000. -5.0  2.0   0.2270    0.2897    0.0114
 2.50 10000. -5.0  2.0   0.2107    0.2920    0.0120
 3.00 10000. -5.0  2.0   0.2032    0.2919    0.0121
 3.50 10000. -5.0  2.0   0.2004    0.2918    0.0119
 4.00 10000. -5.0  2.0   0.2006    0.2914    0.0117
 4.50 10000. -5.0  2.0   0.2022    0.2905    0.0114
 5.00 10000. -5.0  2.0   0.2049    0.2884    0.0109
 2.00 10500. -5.0  2.0   0.2199    0.2908    0.0119
 2.50 10500. -5.0  2.0   0.2021    0.2915    0.0124
 3.00 10500. -5.0  2.0   0.1932    0.2905    0.0125
 3.50 10500. -5.0  2.0   0.1891    0.2900    0.0124
 4.00 10500. -5.0  2.0   0.1876    0.2903    0.0124
 4.50 10500. -5.0  2.0   0.1872    0.2906    0.0124
 5.00 10500. -5.0  2.0   0.1871    0.2906    0.0123
 2.50 11000. -5.0  2.0   0.1943    0.2916    0.0130
 3.00 11000. -5.0  2.0   0.1851    0.2890    0.0128
 3.50 11000. -5.0  2.0   0.1802    0.2879    0.0127
 4.00 11000. -5.0  2.0   0.1778    0.2880    0.0127
 4.50 11000. -5.0  2.0   0.1763    0.2890    0.0129
 5.00 11000. -5.0  2.0   0.1749    0.2900    0.0130
 2.50 11500. -5.0  2.0   0.1878    0.2918    0.0135
 3.00 11500. -5.0  2.0   0.1780    0.2879    0.0131
 3.50 11500. -5.0  2.0   0.1730    0.2855    0.0129
 4.00 11500. -5.0  2.0   0.1701    0.2851    0.0129
 4.50 11500. -5.0  2.0   0.1679    0.2864    0.0131
 5.00 11500. -5.0  2.0   0.1661    0.2877    0.0134
 2.50 12000. -5.0  2.0   0.1820    0.2922    0.0141
 3.00 12000. -5.0  2.0   0.1715    0.2870    0.0135
 3.50 12000. -5.0  2.0   0.1666    0.2833    0.0131
 4.00 12000. -5.0  2.0   0.1636    0.2822    0.0130
 4.50 12000. -5.0  2.0   0.1612    0.2830    0.0131
 5.00 12000. -5.0  2.0   0.1591    0.2846    0.0135
 2.50 12500. -5.0  2.0   0.1771    0.2926    0.0146
 3.00 12500. -5.0  2.0   0.1662    0.2859    0.0139
 3.50 12500. -5.0  2.0   0.1609    0.2813    0.0132
 4.00 12500. -5.0  2.0   0.1578    0.2794    0.0130
 4.50 12500. -5.0  2.0   0.1553    0.2798    0.0130
 5.00 12500. -5.0  2.0   0.1531    0.2811    0.0134
 2.50 13000. -5.0  2.0   0.1725    0.2935    0.0152
 3.00 13000. -5.0  2.0   0.1612    0.2851    0.0143
 3.50 13000. -5.0  2.0   0.1557    0.2794    0.0134
 4.00 13000. -5.0  2.0   0.1528    0.2766    0.0130
 4.50 13000. -5.0  2.0   0.1504    0.2763    0.0130
 5.00 13000. -5.0  2.0   0.1479    0.2776    0.0133
 2.00 14000. -5.0  2.0   0.1975    0.3025    0.0152
 2.50 14000. -5.0  2.0   0.1651    0.2956    0.0163
 3.00 14000. -5.0  2.0   0.1528    0.2840    0.0151
 3.50 14000. -5.0  2.0   0.1474    0.2756    0.0138
 4.00 14000. -5.0  2.0   0.1442    0.2712    0.0131
 4.50 14000. -5.0  2.0   0.1419    0.2698    0.0129
 5.00 14000. -5.0  2.0   0.1394    0.2704    0.0131
 2.50 15000. -5.0  2.0   0.1589    0.2988    0.0174
 3.00 15000. -5.0  2.0   0.1456    0.2839    0.0160
 3.50 15000. -5.0  2.0   0.1401    0.2728    0.0143
 4.00 15000. -5.0  2.0   0.1372    0.2664    0.0132
 4.50 15000. -5.0  2.0   0.1349    0.2637    0.0128
 5.00 15000. -5.0  2.0   0.1324    0.2637    0.0128
 2.50 16000. -5.0  2.0   0.1539    0.3028    0.0186
 3.00 16000. -5.0  2.0   0.1387    0.2853    0.0169
 3.50 16000. -5.0  2.0   0.1332    0.2713    0.0148
 4.00 16000. -5.0  2.0   0.1310    0.2624    0.0134
 4.50 16000. -5.0  2.0   0.1288    0.2587    0.0127
 5.00 16000. -5.0  2.0   0.1264    0.2577    0.0126
 2.50 17000. -5.0  2.0   0.1503    0.3069    0.0197
 3.00 17000. -5.0  2.0   0.1323    0.2875    0.0181
 3.50 17000. -5.0  2.0   0.1270    0.2706    0.0155
 4.00 17000. -5.0  2.0   0.1250    0.2597    0.0137
 4.50 17000. -5.0  2.0   0.1234    0.2542    0.0128
 5.00 17000. -5.0  2.0   0.1214    0.2523    0.0125
 2.50 18000. -5.0  2.0   0.1491    0.3107    0.0207
 3.00 18000. -5.0  2.0   0.1265    0.2902    0.0195
 3.50 18000. -5.0  2.0   0.1206    0.2710    0.0164
 4.00 18000. -5.0  2.0   0.1193    0.2578    0.0141
 4.50 18000. -5.0  2.0   0.1182    0.2508    0.0129
 5.00 18000. -5.0  2.0   0.1166    0.2477    0.0125
 2.50 19000. -5.0  2.0   0.1510    0.3141    0.0213
 3.00 19000. -5.0  2.0   0.1215    0.2931    0.0209
